"Time In","Time Out",ID,"Reg. #",Site,Workstation,Weighbridge,"Weighing Types","Product Code",Product,"Business Partner Code","Business Partner","Haulier Code",Haulier,"Gross Weight","Nett Weight","1st Weight","2nd Weight","1st Weight User","2nd Weight User","Verifying User",Deleted?,"Delete Reason","User that Deleted"
"2023-08-07 16:38:10","2023-11-01 15:56:14",66,DKV959FS,Bultfontein,WS1,"Milling Bridge","Public Weighing","KO Pro","Milling Product",0001,"K.O. Grains",KO,"KO Milling",9,9.316,13,22.316,admin@gmail.com,admin@gmail.com,,,,
"2023-08-07 16:41:44","2023-09-11 16:52:10",67,DKV959FS,Bultfontein,WS1,"Milling Bridge","Public Weighing","KO Pro","Milling Product",0001,"K.O. Grains",KO,"KO Milling",9,8.8244,13.532,22.3564,admin@gmail.com,admin@gmail.com,,,,
"2023-08-07 17:20:35","2023-11-01 16:00:45",68,DKV959FS,Bultfontein,WS1,"Milling Bridge","Public Weighing","KO Pro","Milling Product",0001,"K.O. Grains",KO,"KO Milling",10,9.795,23.331,33.126,admin@gmail.com,admin@gmail.com,,,,
"2023-08-08 05:34:38","2023-11-01 16:12:55",69,DKV959FS,Bultfontein,WS1,"Milling Bridge","Public Weighing","KO Pro","Milling Product",0001,"K.O. Grains",KO,"KO Milling",11,10.55,33,22.45,admin@gmail.com,admin@gmail.com,,,,
"2023-08-08 13:31:06","2023-11-01 16:19:27",71,DKV959FS,Bultfontein,WS1,"Milling Bridge","Public Weighing","KO Pro","Milling Product",0001,"K.O. Grains",KO,"KO Milling",1,0.88,23.23,22.35,admin@gmail.com,admin@gmail.com,,,,
"2023-10-09 20:14:03","2023-10-09 20:15:44",73,DKV959FS,Bultfontein,WS1,"Milling Bridge","Public Weighing","KO Pro","Milling Product",0001,"K.O. Grains",KO,"KO Milling",30444,30444,26000,56444,admin@gmail.com,admin@gmail.com,,,,
"2023-10-17 17:46:15","2023-10-17 18:03:58",74,DKV959FS,Bultfontein,WS1,"Milling Bridge","Public Weighing",POPC,Popcorn,AFM001,"A1 Family Store",KO,"KO Milling",0,0,1,1,admin@gmail.com,admin@gmail.com,,,,
"2023-10-24 19:17:28","2023-10-24 20:01:24",75,"FFT 781 FS",Bultfontein,WS1,Manual,"Public Weighing",POPC,Popcorn,0001,"K.O. Grains",KO,"KO Milling",13,13.22,20.44,33.66,admin@gmail.com,admin@gmail.com,,,,
"2023-10-24 20:11:59","2023-10-29 10:38:19",76,"FKP 876 FS",Bultfontein,WS1,Manual,"Public Weighing",WM-SMM,"Super Maize Meal",ABS001,"Absolute Retail",KO,"KO Milling",8,7.909,30.239,22.33,admin@gmail.com,admin@gmail.com,,,,
"2023-11-01 15:07:41","2023-11-03 03:47:49",77,DKV959FS,Bultfontein,WS1,Manual,"Public Weighing",POPC,Popcorn,AFM001,"A1 Family Store",TRP001,"Motorworld Transport",12,12.4,32.15,44.55,admin@gmail.com,admin@gmail.com,,,,
"2023-11-01 15:10:54","2023-11-03 03:49:33",78,DKV959FS,Bultfontein,WS1,Manual,"Public Weighing","KO Pro","Milling Product",0001,"K.O. Grains",KO,"KO Milling",10,10.0416,32.165,22.1234,admin@gmail.com,admin@gmail.com,,,,
"2023-11-01 15:12:22","2023-11-01 15:23:46",79,DKV959FS,Bultfontein,WS1,Manual,"Public Weighing",SUGBN,Sugarbeans,AFM001,"A1 Family Store",TRP002,"KN Grain Services",22,21.905,44.231,22.326,admin@gmail.com,admin@gmail.com,,,,
"2023-11-19 16:13:35","2023-11-19 21:49:54",80,DKV959FS,Bultfontein,WS1,Manual,"Public Weighing",SUGBN,Sugarbeans,AWE001,"Awesome Snacks",TRP001,"Motorworld Transport",10,10.01,23.32,33.33,admin@gmail.com,admin@gmail.com,,,,
"2023-11-19 21:28:18","2023-11-19 21:51:41",81,DKV959FS,Bultfontein,WS1,Manual,"Public Weighing",SUGBN,Sugarbeans,AWE001,"Awesome Snacks",TRP001,"Motorworld Transport",13,12.91,23.32,36.23,admin@gmail.com,admin@gmail.com,,,,
"2023-11-19 21:56:00","2023-11-19 21:56:51",82,DKV959FS,Bultfontein,WS1,Manual,"Public Weighing",POPC,Popcorn,0001,"K.O. Grains",KO,"KO Milling",22,21.91,44.23,22.32,admin@gmail.com,admin@gmail.com,,,,
"2023-11-19 22:38:04","2023-12-05 18:54:06",83,DKV959FS,Bultfontein,WS1,Manual,"Public Weighing",SUGBN,Sugarbeans,AWE001,"Awesome Snacks",TRP002,"KN Grain Services",177,170.9997,23.55,200,admin@gmail.com,admin@gmail.com,,,,
"2023-11-26 16:56:26","2023-11-26 17:12:29",84,DKV959FS,Bultfontein,WS1,Hamachi,"Public Weighing",POPC,Popcorn,0001,"K.O. Grains",KO,"KO Milling",0,0.18,1.96,1.78,admin@gmail.com,admin@gmail.com,,,,
"2023-12-05 18:09:25","2023-12-05 18:10:15",85,,Bultfontein,WS1,Hamachi,"Public Weighing",,,,,,,2,1.5822,66.96,68.74,admin@gmail.com,admin@gmail.com,,,,
"2023-12-05 18:18:40","2023-12-05 18:44:37",86,,Bultfontein,WS1,Manual,"Public Weighing",,,,,,,100,80,200,100,admin@gmail.com,admin@gmail.com,,,,
"2023-12-05 18:30:37","2023-12-05 18:43:43",87,,Bultfontein,WS1,Manual,"Public Weighing",,,,,,,100,80,200,100,admin@gmail.com,admin@gmail.com,,,,
"2023-12-05 18:50:45","2023-12-05 18:52:35",88,,Bultfontein,WS1,Manual,"Public Weighing",,,,,,,100,80,200,100,admin@gmail.com,admin@gmail.com,,,,
